"STU_ID","BYSEX","BYRACE","BYMOTHED","BYWRTNGA"
113217,1,6,6,-4
113218,1,7,2,0.052
113219,1,4,5,1.001
113220,2,3,5,-4
113221,2,7,7,-4
113222,2,7,7,-4
113223,1,-8,2,-0.898
113225,1,2,2,-0.143
113226,2,3,2,-1.361
113227,1,3,2,-0.435
113228,2,6,7,-4
113229,2,2,3,1.951
113230,-4,-4,-4,-4
113231,1,5,2,-0.898
113232,1,7,3,-0.216
113233,2,4,3,-1.652
113234,2,2,4,0.807
113261,-8,-8,-8,-8
113262,-8,-8,-8,-8
114101,1,7,6,1.001
114102,1,7,6,0.515
114103,2,7,6,1.001
114104,1,7,6,1.951
114105,2,2,5,-0.703
114106,1,7,4,1.001
114107,2,7,4,1.001
114108,1,7,6,-0.435
114109,2,7,2,-0.216
114111,1,-8,6,-0.709
114112,1,7,5,0.052
114113,2,7,6,1.001
114114,2,7,5,0.733
114115,2,7,8,1.001
114116,1,7,7,1.001
114117,2,6,2,0.052
114118,1,7,4,-0.246
114119,1,7,6,1.951
114121,2,7,6,1.001
114122,2,3,6,1.951
114123,1,7,8,-0.246
114124,2,7,7,1.951
114125,1,7,7,1.001
114126,-4,-4,-4,-4
114127,2,7,6,1.001
114128,1,7,2,0.052
114129,1,7,7,1.951
114130,2,7,6,1.001
114201,2,7,2,-4
114202,2,7,3,-4
114203,1,7,6,0.32
114205,2,1,2,-4
114206,1,7,2,-4
114207,1,2,2,-4
114208,1,7,4,-4
114209,1,7,2,0.052
114210,1,7,3,-4
114211,2,7,5,-4
114212,1,7,2,-1.847
114213,1,7,6,-0.143
114214,2,-8,3,1.172
114215,2,7,2,-1.847
114217,2,7,3,-4
114220,1,7,2,-4
114221,1,7,3,-4
114222,1,7,3,-4
114223,2,7,4,-4
115101,1,7,3,-1.658
115102,1,7,2,-1.847
115104,2,7,3,0.539
115105,1,7,1,-0.898
115106,2,5,5,0.052
115107,2,7,2,0.052
115108,2,7,5,0.052
115109,2,6,2,0.052
115110,1,2,8,1.001
115111,2,7,5,1.001
115112,2,7,1,-4
115113,1,7,2,1.001
115114,1,7,2,-9
115115,1,7,2,0.32
115116,2,7,2,0.812
115117,1,7,4,-0.898
115118,2,7,6,0.052
115121,1,3,2,0.052
115122,2,7,3,1.001
115123,1,7,6,0.539
115124,2,7,1,-1.093
115125,1,7,3,1.001
115126,2,7,2,-0.898
115128,2,7,2,0.32
115129,2,7,5,0.052
115130,2,7,2,0.32
115161,-8,-8,-8,-8
115201,1,7,2,-0.246
115202,1,7,3,0.052
115203,2,7,2,0.812
115204,1,7,3,0.812
115205,2,5,2,-0.898
115206,1,7,4,1.001
115207,2,7,2,-1.579
115208,1,2,4,0.052
115209,1,7,2,0.733
115210,2,7,6,1.001
115211,1,7,4,0.052
115212,1,7,4,-0.514
115213,2,7,3,1.762
115214,1,7,4,-0.137
115215,1,7,4,0.052
115216,2,7,6,0.052
115217,2,7,2,1.951
115218,1,7,6,1.001
115219,2,7,2,-0.246
115220,1,7,5,0.052
115221,1,7,2,0.812
115222,2,7,4,-0.143
115223,1,5,4,-0.435
115226,2,7,7,-0.137
115227,2,7,1,0.052
115228,1,7,1,0.052
115229,2,7,6,-0.898
115230,1,7,2,0.052
116101,2,7,6,0.515
116102,2,7,2,-0.435
116104,1,7,5,0.515
116106,2,7,2,1.001
116107,1,7,1,-0.898
116108,1,7,2,0.247
116109,1,4,2,0.052
116112,1,7,1,-0.435
116113,1,7,4,-0.435
116115,1,6,4,-0.898
116116,1,7,2,-0.143
116117,1,7,2,0.704
116118,2,7,3,-1.361
116121,1,7,2,0.022
116122,1,7,1,0.812
116123,1,7,4,-0.898
116125,1,5,5,-0.898
116126,1,7,2,-0.898
116202,2,7,4,-0.709
116203,2,7,2,1.001
116204,2,7,2,0.241
116205,1,7,4,0.241
116208,2,7,2,1.001
116210,2,7,4,-4
116211,1,7,6,-0.137
116213,2,7,6,1.001
116215,2,7,5,0.052
116216,1,2,4,0.052
116218,2,7,1,1.459
116219,1,7,6,1.001
116220,1,7,2,-1.355
116224,2,4,2,0.052
116225,2,7,3,1.001
116228,2,3,2,-1.384
116229,1,7,3,1.683
116230,2,7,2,1.001
116232,1,7,2,0.052
116233,2,6,5,0.052
117101,-4,-4,-4,-4
117102,-4,-4,-4,-4
117106,-4,-4,-4,-4
117107,-4,-4,-4,-4
117108,-4,-4,-4,-4
117114,-4,-4,-4,-4
117119,1,7,7,-4
117120,2,7,2,-0.898
117121,2,7,4,0.812
117123,2,7,2,0.704
117125,1,2,4,-4
117203,1,4,5,-4
117204,1,7,3,-4
117205,2,7,4,-4
117206,2,7,5,-4
117207,1,7,7,-4
117208,1,7,2,-4
117209,2,6,2,-4
117210,-4,-4,-4,-4
117212,1,7,2,-4
117213,1,7,5,-1.195
117214,1,7,3,-4
117215,2,7,4,-4
117216,2,7,6,-4
117217,1,4,2,-4
117219,2,7,4,-4
117221,2,7,6,-4
117222,2,7,6,-4
118103,-4,-4,-4,-4
118104,2,7,7,-4
118105,1,7,2,-1.652
118106,2,7,2,0.544
118108,1,7,2,-0.435
118112,2,7,3,-4
118116,-4,-4,-4,-4
118118,2,7,4,0.052
118122,1,2,6,-4
118128,-4,-4,-4,-4
118129,2,5,2,-4
118201,2,-8,1,-4
118202,1,7,5,-4
118203,2,7,6,-4
118204,1,7,8,-4
118205,2,6,6,-4
118206,1,7,3,-4
118207,1,7,1,-4
118208,2,7,2,-4
118209,2,7,2,-4
118210,1,7,1,-4
118211,2,7,2,-4
118212,1,7,6,-4
118213,1,7,5,-4
118214,2,7,2,-4
118215,1,7,4,-4
118216,1,7,3,-4
118217,2,7,2,-4
118219,2,7,7,-4
118220,2,2,2,-4
118221,2,7,2,-4
118222,1,-8,4,-4
118223,1,-8,2,-4
118224,2,7,4,-4
118225,1,7,3,-4
118227,1,7,5,-4
118228,2,7,3,-4
118229,1,7,1,-4
118230,2,7,1,-4
118231,2,7,2,-4
119101,2,7,3,0.052
119102,2,7,1,0.733
119103,1,7,2,-0.63
119104,2,7,6,-0.898
119105,1,7,2,-0.6
119106,1,7,4,-0.143
119107,2,2,2,0.618
119108,1,7,2,-0.898
119109,2,-8,4,-4
119110,2,7,2,1.001
119111,2,7,4,0.052
119113,1,7,5,-0.63
119114,1,7,3,1.001
119116,2,2,7,1.27
119117,2,7,5,0.733
119119,2,6,3,0.052
119121,2,7,6,-1.384
119122,1,7,5,0.733
119123,1,5,2,-4
119124,2,7,4,0.052
119125,1,7,2,0.052
119126,1,7,2,-1.847
119128,2,7,7,0.733
119129,2,7,3,-1.463
119130,2,7,4,0.052
119202,1,3,1,0.43
119203,1,3,4,1.025
119204,2,3,6,1.27
119205,2,3,6,0.698
119206,2,3,2,-4
119207,1,3,4,-4
119209,2,3,2,-4
119210,1,3,4,1.001
119211,2,3,2,-9
119213,1,3,2,-4
119215,1,4,2,-4
119216,1,3,2,-1.847
119217,1,3,3,-4
119218,2,5,2,0.704
119219,2,5,5,-1.087
119220,1,5,2,-4
119221,2,3,5,-1.087
119222,2,3,3,-4
